txLoss : 0.0 , txDelay : 568.0 , txJitter : 84.0 , rxLoss : 0.0 , rxDelay : 520.0 , rxJitter : 8.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 972.0 , txJitter : 81.0 , rxLoss : 0.0 , rxDelay : 845.0 , rxJitter : 17.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 635.0 , txJitter : 75.0 , rxLoss : 0.0 , rxDelay : 510.0 , rxJitter : 9.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 932.0 , txJitter : 38.0 , rxLoss : 0.0 , rxDelay : 857.0 , rxJitter : 20.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 560.0 , txJitter : 22.0 , rxLoss : 0.0 , rxDelay : 498.0 , rxJitter : 12.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 861.0 , txJitter : 65.0 , rxLoss : 0.0 , rxDelay : 841.0 , rxJitter : 54.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 652.0 , txJitter : 48.0 , rxLoss : 0.0 , rxDelay : 640.0 , rxJitter : 39.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 921.0 , txJitter : 84.0 , rxLoss : 0.0 , rxDelay : 871.0 , rxJitter : 11.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 476.0 , txJitter : 74.0 , rxLoss : 0.0 , rxDelay : 434.0 , rxJitter : 8.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 1058.0 , txJitter : 56.0 , rxLoss : 0.0 , rxDelay : 1029.0 , rxJitter : 10.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 724.0 , txJitter : 73.0 , rxLoss : 0.0 , rxDelay : 680.0 , rxJitter : 9.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 869.0 , txJitter : 122.0 , rxLoss : 0.0 , rxDelay : 799.0 , rxJitter : 12.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 488.0 , txJitter : 116.0 , rxLoss : 0.0 , rxDelay : 424.0 , rxJitter : 15.0 , throughput : 0.0/HIT2
